Hour        Distance Travelled
-------------------------------
1                   60
2                   120
3                   180
4                   240
5                   300
6                   360
7                   420
8                   480
9                   540
10                  600
11                  660
12                  720
13                  780
14                  840
15                  900
16                  960
17                  1020
18                  1080
19                  1140
20                  1200
21                  1260
22                  1320
23                  1380
24                  1440
25                  1500
26                  1560
27                  1620
28                  1680
29                  1740
30                  1800
31                  1860
32                  1920
33                  1980
34                  2040
35                  2100
36                  2160
37                  2220
38                  2280
39                  2340
40                  2400
41                  2460
42                  2520
43                  2580
44                  2640
45                  2700
46                  2760
47                  2820
48                  2880
49                  2940
50                  3000
51                  3060
52                  3120
53                  3180
54                  3240
